reviewText,summary,overall,verified,vote
"A guilty pleasure of a book with characters so well formed, dialogue so entertaining and a story so well plotted that you want to consume it whole, gorge yourself on it and then call up everyone you know and love and recommend it to them.  That is exactly my reaction to ""Sex. Lies. Murder. Fame"" by Lolita Files.

In the tradition of Kurt Andersen's fictional dissection of the nineties in ""Turn of the Century"", and Tom Wolfe's mining of the excesses of the eighties in ""The Bonfire of the Vanities"", Ms Files has written a titillating exploration of fame and branding in the twenty-first century.  Sex. Lies. Murder. Fame is a wild adventure through a pop culture world spinning on the axis of the NYC publishing industry and all it's media related tentacles.

Beryl Unger, top editor at Kittell Press, sufferer of narcolepsy and obsessive compulsive disorder is on the hunt for ""him"".  The one.  The man of her dreams.  (But reader - I beg you - before the past six years of ""chick lit"" that has been thrown at us clouds your judgement  - please hold back your pre-conceived notions about reading a book about a woman looking for love.  Make no mistake - this is a bona fide novel - with no cutesy ""lit"" categories to describe it.)  When Beryl finally meets ""him"" he comes in the form of one Pennbook Hamilton, a murderous, mentally warped, Ivy League genius that just so happens to have written a novel.

What follows is a tale of love, murder, deceit, fame, fortune and cross merchandising.  It is a mental feast chock full of real time culture, witty dialogue, fascinating multi-dimensional characters, and bedroom (and bathroom stall) scenes that would make Judith Krantz blush.

The book flap says Kanye West has optioned one of Ms. Files other novels for film development and I sincerely hope that the lucky Hollywood executives who have (or will) stumble onto this story take note of Beryl's marketing genius and cross promote the hell out of Ms. Lolita Files.  Well done.",So much fun,5.0,False,
"I'd never before read a Lolita Files' book, and was unsure what to expect. By the title I expected a dreary story about the sexual reawakening of an unimaginative married woman, whose sister is sleeping with her husband, in a town where an old friend arrives who likes to video tape frank interviews.... This story is far from that.

The novel's narrative style is attention grabbing, and the story itself has a modern ""feel"" to it. Three lead characters run through most of the story and all jockey for lead position at some point in this comedy of flaws, rather than errors.

It is centered on the New York publishing world, and because it manages to paint such an unflattering picture of the profession, it's amazing the story got published at all. It probably because it is funny, and delightfully cynical.

If you like modern black humor, then this book is for you. Let's just say that the title of the book is fairly accurate.

Beryl Unger is a narcoleptic who also has Obsessive Compulsive Disorder and just happens to be an editor to a major publishing house. Gradually over the span of the story, you grow in sympathy towards this abrasive powerhouse, as she's her own victim.

Another character is Sharlyn Tate, a major star in the publishing world and author of many books, several of which were best sellers. Trouble is, she's bored. Her billionaire husband is never home, and she's got writer's block. Whether she realizes it or not, and despite her awareness of the seedier side of life, she's just waiting to be taken advantage of.

Enter Pennbrook A. Hamilton, Penn to the world now. A genius with a 210 IQ, but a humility rating of zero. This superficially perfect specimen of a man is the puppet-master of the story, whose calculating logic and ambition is the meat of the book.

Armchair Interviews says: This story is so sharp that it should cut itself to shreds. If this is the benchmark of Lolita Files' work, then we'll be keenly looking out for more books by this author. Delightfully wicked.",Delightfully wicked!,4.0,False,3
"Wow, I was totally blown away by this book.  Just when I thought that I had gotten to the good part, it got better.  I was shocked by the plot twists and turns.  I would recommend this book to anyone who is a fan of the author.",Lolita Files Does It Again,5.0,False,
"Lolita Files is one of my favorite authors. She is an excellent writer, and her stories are very entertaining. Also, she creates believable characters. And if it wasn't for all those reasons, I would have hated this book. In the beginning, the story is so gripping and funny. Then at some point, it's no longer funny because of immoral acts committed. And then when you reach the end, you are left hanging. I wanted to rip this book into pieces. Such a disappointing ending, but I'm glad I read it.",A superb storyteller,4.0,False,
"This book is...I don't even know what to call it. It's truly is horrible for the first 100 pages. It's nothing like you've ever read or ever would expect from Lolita Files. I bought it (for like a quarter) despite all the bad reviews cause I just had to see for myself. Besides I usually like different stuff anyway. But as I was reading it, I couldn't believe this was the same author who wrote Child of God. BUT WAIT, HERE'S THE CRAZY PART, after about the 100th page, this novel gets insanely good! I mean it gets AMAZINGLY good!!! So if you can hang in there for that long (and the first part is terrible) then this is a really good story. I don't know what was going on with Miss Files when she penned this one, but it's definitely a bittersweet achievement.","Crazy, Just Crazy",3.0,False,
"EXTREME WARNING: Unless your computer has updated Norton Anti-virus protection or comparable protection against covert & malicious software (which infects your computer & then downloads all your files at night by spies) DO NOT ACCESS ANY OF MY REVIEWS!!! [This is no hype or joke.]

Regarding sex in literature, I try not to be prudish in my sensibilities, but I have sometimes been offended by ""filth""--openly self-serving, very often freakish, and explicit sex--which serves no literary function other than as TNA & DNA pornography--usually written in a ""blue"" language of sexual explitives and expressions--and used only for the sake of selling smut books to lonely, sexually unfulfilled, mostly middle-class women. Most books such as these are terribly written by wanna-be and talentless writers.  A few do have real talent, but nonetheless are still manipulative seekers of mass-market suckers.

Intrigued by the wide disparity of reviews expressed (hated-it/loved-it) for Lolita Files novel SEX.LIES.MURDER.FAME I decided to read it for myself and form my own opinion.  Here it is:  I think this novel was excellent!! Yes, the sex was raunchy and explicit, but it is exactly this which pimps, sexual predators, and sociopaths use to manipulate and/or degrade women--because it's women they hate--and think are all stupid. The novel's protaganist, Penn, is a sociopath, or as we old-schoolers would say, a psychopath. (A book which I correspondingly recommend for reading is THE SOCIOPATH NEXT DOOR.  Sociopaths are often CHARMING PEOPLE!!! Sometimes with very high IQ's. But god help those who live next door to or who fall under the spell of any such ""pretty boys""...like the notorious serial killer, Ted Bundy.

Lesson to be learned??? Plain men who get a ""pretty girl"" will almost certainly lose their money (perhaps, someone like Russell Simmons.) But plain or pretty women who get ""pretty boys"" might also lose their lives.

I appreciated the wit and intelligence of Lolita Files in SLMF, particularly the way she used literary and philosophical theories and quotes as appropriate examples of the novel's characters. Had some of the language and sex been less explicit and openly ""blue"" and a little more implied, it might be perceived as a masterwork of literature. Even so, I enjoyed the book, and read selected passages (sans some of the blue notes) to my 22 year old and very religious daughter. Because women--all women--need to hear and know the things Lolita Files teaches--things which are much more effective (Straight, no chaser) when told by other women. I say, Thanks, to Lolita Files.

From a Black Man, a Black Father, and a reader.",Suckers Always Pay For Beauty----One Way or Another,4.0,True,
"I don't want to say it was a bad book. Ms. Files has once again demonstrated her command of the written word, but the story was just overall a dark comedy, if I could call it that. Some parts were funny, and the ending, I wanted-if I could borrow a term from one reviewer-closure. All matters resolved. I got to the end and was like, 'okaay, now what?' If you're looking for her usual sistah-girl lit, you won't find it here. A great departure (not her first) but her talents as a writer still keep me as a fan.",Um....well...,4.0,False,
"I've been a Lolita Files since day one, but was leary of this book because of the title. So unlike ""Scenes From A Sistah"" and ""Getting To The Good Part."" I generally don't read books with the word sex in the title because I want to get more out of book than that. The first chapter of this book was just a little too much Beryl, but I guess Ms Files felt like we needed a solid understanding of Beryl and she was right. Though this book is unlike her others (along with Child Of God)I thought it was an excellent page turner and was amazed that the woman who wrote ""Scenes From A Sistah"" could flip the entire script and invent these characters and add them to paper. Lolita Files is a SERIOUS talent who can write damn near anything you're interested in reading and I hope that this show of skills leads to bigger and better things for her. You go, girl!!!","Shocking, funny, sexy",4.0,False,
"I consider myself a true fan of Ms Lolita Files, I have been following her career since Scenes from a Sistah and for her to release something like this is disappointing. I haven't even finished the book, because I have yet to understand what it's about. If she released another book I wouldn't hesitate to buy it because I know her talent, she just slipped up on this one.",Disappointed!,1.0,False,
"I do not like the fact that my book was a library book. If that was the case, I would have went to my own library and got the book. I do like the book but I don't like all the labeling over it. I had to take off stickers from the book!",Library book!,2.0,False,
"I thought the theme of the book was interesting, but the book had too much going on. It had too many characters and the plot was EXTREMELY far out there. The graphic nature of Penn's behavior is sickening. I read another reviewer say that she understood why he was so cruel. I would have to disagree. There is no justification for him being such an arrogant maniac. Also with the technological advances of forensics today wouldn't the police be able to track him down ? The language was a challenge which I liked, but I would not recommend this a read for those who want a ""light"" read. Too heavy for me :|",Difficult to follow,2.0,False,2
"If so then it deserves 5 stars and all the praise some of the other reviewers gave it.  If not then I can only, in good conscience give it 3 stars...and maybe that is being generous. It said on the back flap that this was supposed to be a satire, a satire of what I am not sure though.  I enjoyed this book up until about half way through when it just became so preposterous that I kept finding myself laying it down to have a good laugh.  Everything about the second half of this book was utterly ridiculous and had the feel as though it was written by someone who does not live in the real world.  Also the ending, in my opinion, left a lot to be desired.  There were many questions left unanswered and no real feeling of closure.

`SEX.LIES.MURDER.FAME' is the first book by Lolita Files that I have read but despite my particular distaste for this book I do plan to pick up some of her previous works as I hear they are supposed to be very good.  The one saving grace for `SEX.LIES.MURDER.FAME' was the prose, Lolita Files is obviously a talented writer who should stick with story lines based somewhat in reality.",Was this supposed to be funny???,3.0,False,
"I am one of the few, it would seem, that enjoyed this book. First I must say that I normally do not Lolita Files' (with the exception of ""Child of God"" which I thought was brilliant!! A++). I grew tired of the sister girl themed books a long time ago. But this one (like Child of God)I could not believe that she had written. There was the usual stuff...sex and betrayal...but there was also subplots that I enjoyed immensely. I thought this book was very creative and an easy read, although there were a few things that I would have liked to change or see.

If you need a brief narrative of what the novel is about....Meet Penn Hamilton(handsome and sexy - I think there was a reference to him supposedly resembling Brad Pitt in the book; and intelligent-apparently he has an IQ of 210) who should by all accounts be a success, but hasn't found the right person to promote his book. Enters Beryl, a narcoleptic, obsessive compulsive individual who dresses nicely, but apparently is nothing to look at. You guessed it, they secretly become a couple...she wants to live her fantasy in real life, and he wants his book published. Not only did she promote the book, but Apple/IPOD, Starbucks, and other large entities (including a rap artist) bidding for the newly discovered Penn, and they didn't even know what the book was about.  You guessed it, there are a series of twists and turns in a book filled with secrets and surprises. There are several interesting characters and a lot of character building. Now, this is the problem that I had with the book, I thought that there was a lot of ground work in the beginning that wasn't necessary. All the good stuff was in the end...and some of that could have been explained more. I thought the relationship between Penn and his best friend Mercury should have been discussed more, especially at the end.

One thing that I loved about the novel was that the character that you were suppose to hate (Penn), you didn't. His complexities and nuances became endearing qualities...or at least you definately didn't hate him, and in a way you understood him. His background is interesting (parents, musical prodigy..etc).

But what I enjoyed the most at the end was the way Files left it to your imagination if Penn is up to his murderous ways once again, and if he is...who will protect him now.",It would seem that I am in the minority!,4.0,False,7
"i've read ""Scenes from a Sista"" and ""Blind Ambitions"" and i love them both. this book just pissed me off. first, i thought that Beryl would find this man she was looking for. then on being introduced to Penn, the amazingly smart and sexy writer who treats women like play toys, i knew it was all going to end badly. Penn pissed me off. the ending pissed me off. this damn book just pissed me off.",what the hell?,3.0,False,
"I bought this book thinking that it was the normal Lolita Files..Not the ""New and Improved Lolita Files"" I thought this book was really great. However, If you would have asked me that when I was on chapter's 1 and 2 I would have told you I'm going to throw this book out the window. I thought where is she going with this book. However, by the time you get to chapter's 3 and on it all comes together. You really get a feel for the people in the book and I was really glad I hung in there. Great, great book. Bravo Lolita!",Kim's thoughts...,4.0,True,2
"I was a bit leary about this book based on the other reviews I had read.  This was my first time reading a book by Lolita Files.  I didn't quite know what to expect.  I must admit, I was not let down!  This book is a very well developed story, a page turner, a jaw dropper and a tad bit funny, to say the least.  Anyone reading this book must give it a chance to develop, it is well worth it.  Ms. Files is brilliant and obviously diverse in her craft.  I can't wait to talk about it with my fellow book club members.",Loved it!!,5.0,False,5
"Anyone that says they didn't like this book, needs their head checked! Ok, I admit the first 40 pages were slow; but it was necessary to setup the characters personalities; after that, the book took off, and I couldn't put it down. Yes this book was nothing like her other fabulous books; but that's not a bad thing. Anyone that is open-minded to new ways of writing, will love this book.

Penn Hamilton is a bitter, wounded, genius, trying to become famouse. I wanted to hate him so bad, but I found myself understanding how he became the man he was. Although he took it to the extreme.

Beryl on the other hand was just down-right crazy.

All the twists and turns in this book made this the best Lolita Files book to date. I loved it and can't wait for the next book.",I Loved This Book!!!,5.0,False,4
"Great Job.  The characters, story and attention to detail are what I enjoy most about Ms. Files' writing.  I was really impressed.  Ms.  Files takes you on a rollercoaster ride of intensity that stops, suddenly, making you want more.  I can't wait for the next one.  Keep up the good work!",I Loved It - Strap On Your Seatbelt and Hold On!!!!,5.0,False,4
"This was the second book that I've read by this author and will be my last.  I found this book to be very difficult to get into and just couldn't finish.  If you do decided to read this book, make sure you have your dicitionary close by...",I Couldn't Finish,3.0,True,4
"Ms. Files has once again left me breathless! I got educated,  got mad, got excited and then finally just wanted to smack Beryl up side her head for being just too desperate, too needy and just plain old stupid...but then again what can you expect from a woman who has some serious mental deficiencies!

What I can I say about Penn Hamilton...unbelievable, arrogant,  conceited and just CRAZY DERANGED!!!

I loved the book but in the end I felt that there were still some unresolved issues with Penn. Have we heard the last from Penn Hamilton?

Thanks Ms. Files for a most intriguing read! You have once again fulfilled my expectations of delivering a great story with such spice. You are a master storyteller and you have the gift of making your characters come to life for your readers.

Your imagination is just so overwhelmingly vivid that it can only be a gift from God! I am looking forward to your next master piece!

This deserves a 10 star rating!!!!!!

Darlene Bullock-Gamble",Oh my goodness...this book is just too much!!!!!,5.0,False,2
"I've read the Reesy and Misty novels and was not impressed. But because I'd read Child of God, I did pick up this novel. And boy am I glad I did. Lolita Files outdid herself. The writing was superb. It was as if someone else wrote the Scenes from a Sistah and this one. As the pieces of the puzzle fell into place, two things stood out in my mind: We can be quite foolish even when we know better and money can paved under many, many sins. Either way, Sex. Lies. Murder. Fame is worth the money!",Best Work to Date!,5.0,True,
"Beryl Unger, a high school dropout, narcoleptic, obsessive-compulsive young woman, moves up quickly in the publishing world. She is the editor you need if you want to be a best selling author. Sharlyn Tate, her only friend and best selling author of romance novels, knows this. Penn Hamilton, young, handsome, a brilliant writer with an IQ of 210 wants it - money plus fame, so he begins to woo Beryl. As a just-in-case scenario, he keeps his eye on Sharlyn too. If he can't get in with Beryl by himself, he has no qualms about using Sharlyn to get to Beryl. As it turns out, Beryl is immediately smitten with him. She has waited her entire life for this wonderful man. Soon, Penn is the man to be: every woman in America wants him. Will Beryl be able to hold onto him? What about Sharlyn's growing feelings about him even though she is married to a billionaire? This volatile mixture has surprising results. Look out world!

Lolita Files has written a superb novel, SEX.LIES.MURDER.FAME. The suspense grows and grows as you wonder who is going to get murdered since there are so many characters that invite this disaster. There is plenty of steamy sex and almost everyone in the novel has some ulterior motive for behaving as they do. No one is straight. It is an interesting study of the world of people seeking wealth and fame. Ms. Files develops the characters so well you feel as if you know them. It is a book well worth reading.

Reviewed by Alice Holman

of The RAWSISTAZ Reviewers",What won't be done for fame?,4.0,False,2
It was kind of hard to get into. If I hold on to a book longer than 3 days...it's not that good & I had this for a week. Not the typical Lolita in my opinion.,Hmmm,4.0,False,
"Addictive. Dangerous. Satisfying.  Bad for my health AND social life. Simply put: ON FIYAH! Lolita Files' writing scorches; her character Penn Hamilton's charm (and looks) sears; together they will burn a spot in your heart (and fantasy-filled mind) and put your bookshelf in a serious blaze.

sex.lies.murder.fame. is ab-so-liciously incredible! I loved every word...every minute....I savored every second I spent between the covers. Pure genius; excellent talent!

Files' writing oozes talent; it reaches out, grabs you, plays with you, and leads you along the journey of a story that's full of the drama, the sex, the lies, the Life we all dream of living and love to read about. sex.lies.murder.fame. is THE book you won't let out of your sight or out of your hands. You will tell your friends about it and then make them go buy their own copy because they WILL NOT be getting their hands on yours.

Go ahead and ""shoop"" now, because after you read this book, you will...exhale.",Abs-Fab; all the way----a must read!!!,5.0,False,
"Kudos to Lolita Files for leaving Misty & Reesy behind and charting new territory with Sex. Lies. Murder. Fame!

(I loved Misty and Reesy too, but it was REALLY time to move on after 3 books.)

Sex. Lies. Murder. Fame is not an easy read for the average reader.  It does start slowly for the purposes of character development, but, because Lolita is such an excellent writer, your interest increases as the storylines develop.  By the book's end, I was literally sitting on the edge of my chair, reminding myself to read - not skim - to the last page.

So much of current African-American fiction has been dumbed down and ""ghetto-fied"" to appeal to the under-educated masses that many will not appreciate the rich texture of this book.

I absolutely loved it!  SLMF is a breath of fresh air in a very tired and sometimes frightening genre of poorly-edited, self-published African-American fiction that increasingly features hoochie-mamas, baby mamas, pimps, drug dealers, knocked up teenagers, and simple sorry azz characters.

Kudos again to Lolita Files.  Please keep it up!  There are MANY readers who want more of this style and content of writing!!!",Excellent!,4.0,False,2
"A friend told me about Sex. Lies. Murder. Fame. Sorry I bought this one. I had a hard time finishing it. What a boring read. I like Ms. Files novels, but this was not her stye. Almost like someone else wrote this. This will not be a book club book.",Use Your Library Card,2.0,True,3
"First of all I have to give props to Amazon for allowing us a place to ""Big Up"" or ""Down Grade"" our favorite authors, Nuff said.

I was like a few of my fellow Amazonings Readers and Commentors, I almost returned the book without finishing it. However, thank all the lucky stars I did. Also like many readers, I am a huge Lolita Files fan. Yo, check out ""Child of God.""

Now, let me give you my insight into an amazing book. Yes, this book will have you questioning what the Hell is going on! But don't stop, and stop thinking that all black writer should stay put, White writers don't. Jackie Collins has a mulititude of things going on in her novels. I am finding that many writers are adding race to their novels, Ann Rice, Jude Deveraux, and some others. However staying on track, this writing is about Lolita's Fantastic book.

In my opinion, this book was about a white boy who epitomies the word ""Slave Master"" in the realest sense of the word. I blame Penn's parents for his outlandish behavior. I blame women for being as Penn states ""the stupidest creatures on earth""  Yo dude even had a best friend ""a brother""  A black man no less, being his ""Igor"" you gotta love it.  This dude had it all Two black women at his beck and call, a black man at his beck and call, a full population of people at his beck and call. He was a scary dude, a genuis no less, a Frankinstien of our own making.

Don't let the other commentors sway you from reading this book. You don't have to buy it if you don't want to however, you should at least give it a chance and read it. Let's try to allow our writers to move back and forth with their writings, like they allow us to be so free with our comments.

 However, when it all said and done this was a book, a work of fiction, a writer who took a story and did her damn research, even if her Beryl didn't have the same kind of OCD as the ""Veil of Flowers"" had she not added that part into her story you would not have be so amp to go check on it, would ya.  I also did my own research I wanted to know if the Mcclosky was a real bed owned by a real company, it was!

Girlfriend had me doing a lot of dictionary and Google searches. For Real!

Yo ""Lo"" you did your thing with this one, it was off the hook for sure!

still a fan!!!",If you are a Filies Fan Stay Put for an Adventure!,5.0,False,2
"It is a true shame that some people can write reviews; people who have NO IDEA WHATSOEVER what they are talking about because they don't understand or appreciate literature, but rather garbage peddled to them on streetcorners just like crack. People are missing out on terrific books because of ish like this. *sigh*

This is a REMARKABLE satire of the publishing and entertainment industry, written extremely well and very funny; a send-up to each profession and the celebrity-driven greed that fuels it, leaving you turning the pages and disappointed ONLY in the fact that the story is over.

I'm looking forward to a sequel, and while I'm not going to give a synopsis cause it's already THERE, I had to chime in and give a counter opinion to those slamming the book because they thought it was gonna be another ""you go gurrrrrrl, he ain't ish"" story. Worth checking out and if you don't, your loss! It will wow you!",Wittiest book I've read in years!,5.0,False,
I am a big fan of Lolita Files work but this novel stunned me into dissapointment. It was extrememly hard to get through and I only finished it to see if the ending would be highlite of the book. The character development went on forever and she seem to repeat herself a lot in this book. I'm all for my favororite authors to veer off to another stlye of writing but this is just strange and I hope I never have to read a book like this from Miss Files ever again. Please bring back Misty and Reese or even a story like Child of God would be better.,A big dissapointment,2.0,False,3
I'm a fan of Lolita Files books that this book did not grab me. I started one week ago and I'm still struggling to finish.,not a page turner,2.0,False,2
"I'VE NEVER HAD TO FORCE MYSELF TO FINSIH A BOOK BY LOLITA FILES, BUT THIS ONE I DID STRUGGLE WITH, AND I'M NOT SURE IT WAS WORTH THE STRUGGLE, BUT IT'S CERTAINLY NOT THE WORST BOOK I'VE READ ALL YEAR.

I USED TO RECOMMEND MS. FILE'S BOOKS, BUT I'M GONNA STOP THAT FOR AWHILE AND WAIT AND SEE HOW HER NEXT COUPLE OF BOOKS TURN OUT BECAUSE I THINK SHE'S FALLEN OFF A BIT.

MY HOPE IS THAT SHE'LL COME BACK, THOUGH, CAUSE I THINK SHE'S VERY TALENTED, AND I LOVED HER MISSY AND REESE CHARACTERS.","NOT AS GOOD AS OTHER LOLITA FILES BOOKS, BUT OKAY",3.0,False,2
"Sex. Lies. Murder. Fame is one of the best books I've read in ages.  Not only was it intelligent, it was brilliantly crafted and the characters whether you liked them or not were fully formed ready to walk off the page. Finally a book that requires some thought and introspection and not the usual light fare that you can read while doing one hundred other things at once and not miss a beat. If you want a book that will challenge you as well as entertain, this is the book for you.  I will be using it in my writing course.

Congrats Lolita on a job more than well done!",Brilliant!!!,5.0,False,2
This book was awful.  I made myself read it thinking it would get better--it never did.  I had to force myslef to complete it.  I truly like this author but she missed the boat this time!,What the ????,1.0,False,3
"This book was very disappointing. This was the first time I ever bought a book from an author I didn't know anything about and I'll never do it again. I started to return the book when I first got it because it had a slow start but I forced myself to read it. I don't know if this author meant to sound cruel or mean but she did. The characters were so unbelievable, I couldn't picture them in my mind. There was so much unimportant fluff in this book, it was crazy.  At the end of the book, I just started skipping over the drawn out parts, which were many. I don't think I really know the ending but I wasted enough time on it.","The word ""disappointed"" does not say enough.",1.0,False,6
"THIS BOOK IS SO FAR REMOVED FROM THE REESY/MISTY SAGA THAT I DIDN'T EVEN RECOGNIZE THE AUTHOR UNTIL NEAR THE END.  WHAT WAS THE POINT IN GOING ON AND ON ABOUT PENN'S ""GOOD LOOKS"" ( A SUBJECTIVE TERM BY THE WAY)?

AS FOR BERYL'S ""HIDEOUS"" APPEARANCE, WHEN YOU HAVE THAT MUCH MONEY, ARE YOU REALLY TRAPPED WITH WHAT YOU WERE BORN WITH?  NO MENTION EVER OF POSSIBLE PLASTIC SURGERY.  AND WHAT EVER HAPPENED TO INNER BEAUTY?  DID SHE LOOK LIKE THE ELEPHANT MAN, OR WHAT?

PLEASE DO NOT WASTE YOUR MONEY ON THIS GARBAGE.  THIS IS THE LAST OF LOLITA FILES' BOOKS I'LL READ.  IT WAS FILTHY, UNREALISTIC, AND SIMPLY IN BAD TASTE.",WHAT IS THIS!!!!!,1.0,False,5
"First I'd like say I believe Lolita Files to be wonderful writer but I just finished sex.lies.murder.fame (three days worth of forced reading) and am still scratching my heading and muttering to myself ""this can't be the same author who wrote Scenes from a Sistah and Getting to the Good Part""?

sex.lies.murder.fame started out slow and ended on the same note.  The main characters,  Beryl Unger and Penn Hamilton are both mental cases, one who should have stayed under a doctor's care and the other a  genius who doesn't realize he has a problem.  Oh yea, I did pick up two things from this novel which I researched:

1.  Narcolepsy (a chronic neurological disorder caused by the brain's inability to regulate sleep-wake cycles normally) for which there is not cure but is treatable through the use of specific drugs; and

2.  Obsessive-compulsive disorder is a neurobiological disorder defined by recurrent, unwelcome thoughts (obsessions) and repetitive behavior (compulsions) that OCD sufferers feel driven to perform.

sex.lies.murder.fame was the most boring novel I've read in some time.  The only reason I finished sex.lies.murder.fame is because this is ""Lolita Files"", her novels are fabulous but not this time.  sex.lies.murder.fame does not live up to Ms. Files' past novels in no shape or form and now I'm not sure if I'll ever chance another of this author's works, at least not in hardcover.

I'm sitting here wondering what to do with this novel, I can't give it to anyone I know as they'll probably end up beating me across the head with it and I hate throwing out novels as they are precious to me but I may have to make an exception this time cause this novel is not worth taking up space in my residence.

I would love to have said I should have waited for the paperback release but it wouldn't make me feel any better, I would have just waited a whole year and still end up scratching my head in wonder.",You've Got to Be Kidding Me,2.0,False,20
"I am so disappointed with this book!  I have been trying to read it for two weeks, and I'm only on page 20.  I find the beginning so boring, it puts me to sleep.  I can't follow the characters, I can't follow the language(tone)...  Maybe I will pick it back up when I don't have anything else to read.",I can't get into this one!,1.0,False,6
